toxic,nontoxic,generated
You know how the Romans settled this shit?,do you know how the Romans handled this?,you know how the Romans decided this?
What kind of shit do you talk?,what are you talking about?,what are you talking about?
Idiot. There's a storage shed near the back.,there's a warehouse in the back.,there's a storage shed in the back.
Come get her! Goddamn you!,come and get her!,come get her!
"You fucker Hello, post office?","hello, post office?","hello, mailman?"
"Stupid! Chris, just relax.","Chris, just relax.","Chris, just relax."
"""There's enough shit in here to fuck Cohaagen good — and that's what I'm planning to do.","""I've got plenty to go around with Cohaagen-and that's what I'm planning.","""there's enough stuff in here to make Cohaagen really good,"
"It's like every day, you find a new way to push the limits of stupidity.",it's every day you find a new way to stifle the limits of destitution.,"it's like every day, you find a new way to push the limits of"
"They broke when you fell. - Fuck, Seth!","well, they broke... when you fell.",they broke it when you fell off.
"Crap, that's terrifying.",this is really scary.,that's scary.
"That's fucking Alexis, dude.","oh, man, it's Alexis.","that was Alexis, man!"
"That's a paradise compared to this, asshole.",it's a paradise compared to this place.,"it's a paradise, compared to this, man."
Useless.,unnecessary.,unnecessary.
That was good shit.,that was good stuff.,that was good stuff.
You two get those damn demolition charges made.,you two take care of the charges.,you two get those demolition charges out of here.
How come you know all this shit?,how do you know this?,how do you know all this?
Do I hear a bitch pitch in your voice?,can I hear a hate in my voice?,do I hear a big voice in your voice?
"There's the degree. Assuming you could find out when these guys are flying... which I doubt, because it's your dumb-ass idea... Gail!","it's the title. Even if you find out when those boys are going, which I doubt, because it's your bad idea, it's all the guys you've been dating, and it hasn't worked out.","I guess you could find out when the guys fly, which I don't know"
Fuck you! - I'm trying to get good at NASCAR.,I'm just trying to be good at NASCAR.,I'm trying to be good at NASCAR.
It's noble. Fuck!,it's noble.,it's noble.
Bullshit. Who wrote that?,who wrote this?,who wrote this?
"Well, then, your father's stupid.","well, that's your father-in-law.",your dad is a really nice guy.
Take a guy's bow like that? Fucking prick.,to steal a bow like that?,can you take a guy's hand like that?
What the fuck was that about your grandfather?,what's your grandfather's history?,what happened to your dad?
"Watch where you're walking, asshole!","watch where you're going, man!","watch where you're going, man!"
You still believe that crap?,do you still believe those calls?,do you still believe that?
