toxic,nontoxic,bart,custom_transformer,bart_rouge1,bart_rouge2,bart_rougeL,bart_rougeLsum,bart_meteor,bart_bleu,bart_wer,custom_transformer_rouge1,custom_transformer_rouge2,custom_transformer_rougeL,custom_transformer_rougeLsum,custom_transformer_meteor,custom_transformer_bleu,custom_transformer_wer,toxic_toxicity,nontoxic_toxicity,bart_toxicity,custom_transformer_toxicity
It's feeding time at the fucking zoo!,it's time to eat at the zoo!,it's feeding time at the zoo.,it 's about it and the floor.,0.8,0.462,0.8,0.8,0.713,0.0,0.571,0.4,0.154,0.4,0.4,0.169,0.0,0.857,0.0001,0.0001,0.0004,0.0042
Everyone here bet on the hero and lost their asses.,they all took a hero and lost everything.,everyone here bet on him and they lost.,everyone 's here on your hero and all those things.,0.375,0.0,0.25,0.25,0.222,0.0,0.875,0.333,0.125,0.222,0.222,0.343,0.0,1.0,0.0005,0.0178,0.0014,0.0034
Then I got to come home to Melvin and his bullshit.,then I'm going home and Melvin's there.,then I have to come home to talk to Melvin.,then i have to come home and left his voice.,0.421,0.118,0.421,0.421,0.368,0.0,1.143,0.421,0.235,0.421,0.421,0.442,0.0,1.0,0.0001,0.0002,0.0002,0.0031
Sara here was hoping to pick your brains.,Sara was hoping you could handle her.,Sara here was hoping to pick your brains.,there was here i was hoping i 'd pick you your business.,0.4,0.154,0.4,0.4,0.39,0.0,0.714,0.316,0.118,0.316,0.316,0.371,0.0,1.429,0.0036,0.0005,0.0036,0.0048
"Oh, that's stupid. If anyone wants to tell me what's going on, I'll be in the lounge.","if anyone wants to tell me what's going on, I'll be downstairs.","if anyone wants to talk to me, I'll be in the lounge.","if anyone wants me to tell me what 's going on , i 'll be in the snippets of the floor.",0.593,0.4,0.593,0.593,0.59,0.274,0.667,0.765,0.688,0.765,0.765,0.9,0.0,1.083,0.0001,0.0002,0.0002,0.0223
"Fucking be careful, dude.","be careful, man.","be careful, man.","be careful , man.",1.0,1.0,1.0,1.0,0.996,1.0,0.0,1.0,1.0,1.0,1.0,0.996,1.0,0.667,0.0001,0.0009,0.0009,0.0009
"If he wants to consult with someone, that mean she's stumped... which means I'm screwed.","if he wants to deal with someone, it means he's dead... which means he's dead to me.","if he wants to consult someone, that means he's stumped... which means I'm","if he wants to catch the roof with someone , she 's got a lot of snow.",0.588,0.375,0.588,0.588,0.475,0.312,0.471,0.4,0.242,0.4,0.4,0.344,0.161,0.765,0.0002,0.0541,0.0011,0.0031
"Damn, I've had enough.",I've had enough.,I've had enough.,i 've had enough.,1.0,1.0,1.0,1.0,0.996,1.0,0.0,1.0,1.0,1.0,1.0,0.996,0.0,0.667,0.0001,0.0002,0.0002,0.0058
"To get rid of you, I'll swat you with 1 30 grand.",I'll get rid of you for 1 30 grand.,"to get rid of you, I'll swat you with 1 30 grand.","to get rid of you , i 'll take a 30 grand.",0.783,0.571,0.609,0.609,0.849,0.366,0.556,0.762,0.526,0.571,0.571,0.789,0.28,0.667,0.9895,0.0002,0.8537,0.1329
Sorry. Its stupid of me.,I'm sorry. It's a little silly of me.,I'm sorry.,i 'm sorry.,0.462,0.364,0.462,0.462,0.335,0.0,0.75,0.462,0.364,0.462,0.462,0.335,0.0,1.0,0.0001,0.0001,0.0002,0.0006
You're afraid to make the big moves because she's handicapped and shit.,you're afraid to roll her out because she's disabled.,you're afraid to take big steps because she's handicapped.,you 're afraid to make a big big guy because she 's gone.,0.636,0.5,0.636,0.636,0.649,0.0,0.444,0.583,0.455,0.583,0.583,0.638,0.0,1.111,0.9988,0.0089,0.0358,0.1117
I can only attribute her weight loss to her mental disorder.,I can attribute the loss of her weight to mental problems.,I can only attribute her weight loss to her mental disorder.,i can only cross her mom was a lot of trouble.,0.727,0.2,0.636,0.636,0.487,0.0,0.636,0.364,0.1,0.273,0.273,0.31,0.0,0.818,0.0024,0.0003,0.0024,0.0265
She still think you're a fucking architect? -Oh. yeah.,"does he still think you're an architect, man?",does he still think you're an architect?,does he think you 're an emotional expert?,0.941,0.933,0.941,0.941,0.829,0.677,0.25,0.706,0.533,0.706,0.706,0.623,0.0,0.625,0.0001,0.0002,0.0002,0.0036
Goddamn rules are ruining the game.,bad rules tape the game.,the rules are ruining the game.,i 'm sorry about the game.,0.545,0.222,0.545,0.545,0.615,0.0,0.6,0.364,0.222,0.364,0.364,0.483,0.0,0.8,0.0001,0.0007,0.0002,0.0002
It'll go straight to your head.,it goes right to your head.,it'll go right to your head.,go go straight to your head.,0.769,0.545,0.769,0.769,0.829,0.615,0.333,0.5,0.4,0.5,0.5,0.567,0.411,0.5,0.0006,0.0073,0.0659,0.403
Fuck it. I will take you with me.,"okay, I'll take you.",I'll take you with me.,i 'll take you with me.,0.727,0.667,0.727,0.727,0.691,0.0,1.0,0.727,0.667,0.727,0.727,0.691,0.0,1.25,0.0003,0.0027,0.0003,0.0019
