toxic,nontoxic
"They're all laughing at us, so we'll kick your ass.",they're laughing at us. We'll show you.
"Come on, Cal, leave that shit alone.","come on, Cal, put it down."
I like that shit.,I love it.
"Hey, leave the poor bastard alone!",leave the poor man alone!
"Now, I understand you got your grievances with these fools, but you need to talk to the police and air this shit.","I understand you don't have to cut your bills, but you have to go to the police and say it."
"I swear to God, the best thing I ever did in my life was save that little son of a bitch","I swear to God, the best thing I've ever done in my life was to save this little Mutt,"
The only crime he committed Was standing up to that bastard mcbride.,his only crime was that he stood up to this little McBride.
Damn It!,"oh, my God."
Fuck! Get out of the fucking way!,move out of the way!
"Natasha, go be a whore elsewhere, okay?","Natasho, you have to go somewhere else, okay?"
I can't believe Okwe never fucked you.,I can't believe Okwe never drove you.
"Damn,man,i wanted the old football coach,man!","oh, man, I wanted an old American football game, man!"
"Help me, you cunt!","Aitchi, help me!"
Check your backpack. Those guys steal shit.,"check your bag, they steal."
Sometimes that's just their asshole way of showing they love you.,sometimes they just depose that they love you.
Look at that shit.,look at this.
I'll shoot anyone who bugs me!,I'll take anyone who moves!
It's like Patrice's grandmother's asshole after a gospel brunch.,he's like Uncle Pat's grandmother after Sunday lunch.
"The asshole who had apparently taught the girl Lester loved, the girl who would do no more than part her lips the tiniest bit when Lester kissed her, how to really suck face.","the scarecrow, which no doubt taught the girl Lester loved - the girl whose lips were slightly apart when Lester kissed her - as she normally voters in her face."
Then he gets mixed up with those Sovereign Army idiots; ends up in prison.,then he started talking to those from the Supreme Army and ended up in jail.
"Fucking bandages, what are you talkin' about?",what are you talking about?
At least one of you Dunham cunts are gonna pay for my fucking boy!,at least one Dunham will pay for my boy now!
"Oh, crap!","oh, my God."
Who cares what we look like in whatever stupid year this is?,"who cares how we look, no matter what year?"
Where is that metallic motherfucker?,where's the metal shop?
"Fuck it, Jose, don't joke about that.","don't joke about it, Jose."
"Bitch, it was five.","poisoning, there were five."
Why the fuck are you following us?!,why are you following us?!
"Ah, so you want me to take the word of a piece of shit like Valdon.",so you want me to believe a svini like Valdon.
Tony and Bernie. Both crap.,to Tony and Bernie.
I can't work with garbage like this.,you can't work with that kind of waste.
"What, is this fucking crowd full of dead people?",are there all dead people or what?
"Skinner, you dumb-ass. He was right next to you. You're tellin' me you don't know where that slippery son of a bitch went?","Skinner, he was next to you, and you're telling me you don't know where he is?"
I'll wait for you at the plenary. -stupid!,I'll wait for you at the plenary session.
What the fuck are you talking about?,what are you talking about?
What is this shit?,what is it?
What the fuck are you talking about?,what are you talking about?
"Come here, you crazy lady!","come here, woman!"
Let's go. -Move this shit out!,let's get this crate out of here!
The fuck are you talking about?,what are you talking about?
"Fuck, we've been waiting long enough.",we've been waiting a long time!
And for a scumbag like Jimmy T?,a punk like Jimmy T.
"No, something-- - Bullshit:","no, something..."
"""Dear Marshall, ""I do not like that stupid hat.","""dear Marshall, I don't like that hat."
Why copycat two high school loser-ass dickheads?,why imitate two zeros from high school?
"Where are you going, pussy?","where are you going, sweetheart?"
"Enjoy the fuck\xA1ng herpes, old man.","enjoy the game, old man."
"Lying bastard, I shouldn't have trusted you!",I shouldn't have trusted you.
Who the fuck are you?,what are you?
"That Persian porn equipment, we pack all that shit up? Yeah, man.","the Arabian equipment, we packed everything?"
"Well, you know, you could say that life itself is a stupid tradition.","well, you know...... there's a hell of a tradition to say."
'Cause she can't stand your asshole friends.,because she couldn't stand your friends.
Pick up the damn keys.,take your keys.
"True shit, Ari.","really, Ari."
"Jason, put down that stupid camera and come help me!","Jason, put the camera down and help me!"
