toxic,nontoxic
I like that shit.,I love it.
"Now, I understand you got your grievances with these fools, but you need to talk to the police and air this shit.","I understand you don't have to cut your bills, but you have to go to the police and say it."
Damn It!,"oh, my God."
"Help me, you cunt!","Aitchi, help me!"
Look at that shit.,look at this.
It's like Patrice's grandmother's asshole after a gospel brunch.,he's like Uncle Pat's grandmother after Sunday lunch.
Then he gets mixed up with those Sovereign Army idiots; ends up in prison.,then he started talking to those from the Supreme Army and ended up in jail.
At least one of you Dunham cunts are gonna pay for my fucking boy!,at least one Dunham will pay for my boy now!
Where is that metallic motherfucker?,where's the metal shop?
Tony and Bernie. Both crap.,to Tony and Bernie.
"Skinner, you dumb-ass. He was right next to you. You're tellin' me you don't know where that slippery son of a bitch went?","Skinner, he was next to you, and you're telling me you don't know where he is?"
I'll wait for you at the plenary. -stupid!,I'll wait for you at the plenary session.
What the fuck are you talking about?,what are you talking about?
What is this shit?,what is it?
What the fuck are you talking about?,what are you talking about?
The fuck are you talking about?,what are you talking about?
"Lying bastard, I shouldn't have trusted you!",I shouldn't have trusted you.
Who the fuck are you?,what are you?
"True shit, Ari.","really, Ari."
"Jason, put down that stupid camera and come help me!","Jason, put the camera down and help me!"
"And your radio, idiot ?",and our radio?
"Did you see that shit, man?","did you see that, man?"
"Listen, you two-bit fucking actor.","listen, the other artist."
"You bastard! I.S.S., this is Houston.","M.V.S., this is Houston."
"Apologise, damn you!",excuse me for this!
CIRCLE OF SHIT,the circle of Hovna
Fuck!,go! Go!
Why did you do this?! Fuck.,why did you do that?
"You said that already, Herman. Fuck.","that's what you said, Herman."
"Bastards, we've been planning this for months.",we've been planning her for months!
I'm starting to regret this shit!,I'm starting to regret it!
fucking the star.,with our star.
What the fuck you playin'?,what are you playing at?
"Hear that trash, Ranken!","listen to the noise, Ranken!"
Who did this shit to you?,who did this to you?
"Fuck this guy, Nick. He wants to play games, we can play games too.","if he wants to play, we can also play a few games."
"You have to remember, she spent her entire life going out with morons like me and Greg.","don't forget, your whole life has come up with callers like myself and Greg."
They want the same shit.,they want the same thing.
"You, my imbecilic commissar!","I'm talking to you, commissioner!"
"You know I'll always be true to you. Oh, shit!",you know I'll always be faithful to you.
"I can't see without the glasses, idiot!","I can't see without my glasses, man!"
Fuck! Who did it?!,who did it?
And that stupid Rishi won't talk about it..,Rishi doesn't want to talk about it.
Why did you get me involved in this shit?,why did you bring her into this?
Bull shit! It was Thurber's!,they were Thurber's!
First that stupid Wilson tries to be a hero.,"first, Wilson's trying to play a hero and now this..."
Same shit.,the same.
"""Nice day, isn't it?"" How stupid!","""what a nice day, isn't it?"""
How am I supposed to know if I'm not allowed to look back? Just shut up!,how do I know if I'm not supposed to turn around?
Just Quiet. You should have heard this fool cryin'.,"man, you should have heard the noise."
"That is shit, isn't it?","well, isn't it?"
It’s fucking bollocks! – Check with Haynes. – Haynes fucking told me!,it's a mess! -check it with Haynes. -Haynes told me!
Rick's a great guy! It was so fucked up!,Rick is a great guy. We had a great time.
Sandy Taylor's fucking ridiculous.,Sandy Taylor is incredible.
Mr. Parks is such an asshole.,Mr. Parks is a really nice guy.
"Hold your fucking hand, huh?","what, holding your hand?"
What the fuck do you mean?,what do you mean?
"You better keep stepping, motherfucker.",you better keep moving.
Tastes like a rainbow. You're disgusting.,it tastes like a rainbow.
"But not in public, you idiot!",but not in public.
Does that crap actually work on women?,does this really mean that kind of thing about women?
"The Dursleys really were astonishingly stupid about their son, Dudley.","the Dursleys were, amazingly, what their son was concerned about."
You know how that shit works.,you know how it is.
Stupid how?,how bad?
You wouldn't even have the fucking idea If it wasn't for me. That's bullshit.,"if it wasn't for me, you wouldn't have thought of it."
I can't believe you stuck it to that fuck Riario.,I can't believe you put Riario on it.
What an idiot! The new tyres. Where they are going to put them?,where do you think they're going to put the new tires?
"The last thing I wanted to do is to tell this man that I don't have his shit. Right, right.",the last thing I want to do is tell this guy I don't have his stuff.
"What do you think about that, fuckhead?",what do you think about that?
"The war is at our door, and you do this kind of shit.","the war is through the door, and you're doing this."
Watch your ass then.,so watch your step.
"That's right, motherfucker. And you can't go back up either.","that's right, and you can't go up either."
"Bitch, why else would anyone lay you?",why else would anyone treat you?
"Here are your clothes, bitch.",here's your clothes.
"For Christ's fucking sakes, shit happens!","for God's sake, that's what happens!"
I love this shit.,I love this.
"I'm waiting on Dana to say she did it, because that bitch did it.","I expect Dana to confess, because she did."
What the fuck you saying?,what are you talking about?
Did that moron hurt you?,did the oven hurt you?
I bought 'em off the same scumbag who sold me naked pictures of you.,I bought them from the guy who sold me these pictures.
"if it's Green, I'll bury that bastard.","if that's Green, then it's over."
Government's gotta have dozens of departments dedicated to that shit.,the government must have dozens of departments to deal with.
What the fuck have you done?,what are you doing?
"God damn, Carl.","oh, my God, Carl."
God damn it!,to God!
We'll stick with the red bastard.,we'll keep the red one.
"Jesus, Caden, what the fuck?","Caden, what happened?"
Who do you think you are? A damn artist?,"what do you think you are, an artist?"
Who the fuck are you and what the fuck are you doing in my room?,who are you and what are you doing here?
"What... The point is, we couldn't do our job if it weren't for you guys doing all the paperwork, answering the phones, and all that stupid shit that we don't like to do.","I mean, we wouldn't be able to do my job if you hadn't cut the paperwork, the calls and the other stuff that we don't like."
"I promise, okay? Fuck.!","I promise, ok?"
"Oh, that idiot has gone to bed!",he's gone to sleep.
Sign the damn papers!,sign the papers!
Houston lost the fucking!,we lost Houston!
"OK, fuck it, I'll add Roger Federer as my ICE then, shall I?","okay, I'll just add Roger Federer as his ICE contact, all right?"
I didn't want to sing the stupid song with you anyway!,I didn't want to sing with you anyway!
♪ When I was young ♪ ♪ I was told ♪ ♪ try to be just as good as gold ♪ ♪ Try... ♪ That's stupid.,♪ When I was little ♪ ♪ That's what they told me ♪ ♪ I'm supposed to be like an obedient ♪ ♪ Find... ♪ That's too bad.
I know what a shit my father can be.,I know what my dad is.
Where the fuck you want to go?,where do you want to go?
"Look that shit again, Madeira!","check again, Madeira!"
Why is this motherfucker still breathing?.,why is he still breathing?
I'll give YOU 50 cents to fuck off!,I'll give you 50 cents.
Roll that shit! Chef Big Dog up all night cooking!,the chef was cooking all night!
What the fuck are you talking about?,what are you talking about?
Fuck her. Think she's blonde down there?,think she's blown down there?
"Leave it there, okay? Oh, shit.","leave it there, OK?"
"Suck it, future!","and you've got it, future!"
"""This kind of shit is bad for business.","""this is bad for business."
"Amy Taylor Walsh, kicking ass and taking names.",Amy Taylor Walsh doesn't talk to anyone.
"They never found his wife's body, so he keeps looking. The guy's a lunatic.","he's never found his wife's body, so he's still looking."
"Guess what? Today, Steve McQueen is my little bitch.",today Steve McQueen holds my hand!
A fool like you has nothing to lose.,he's got nothing to lose.
"Shit, man:","Jesus, man!"
Joey? Holy shit.,"hey, Joey!"
"I can't even enjoy my shower now, Mr. Publicist-piece-of-shit.","I'm not taking a shower now, Mr. Publicisto-To-Hovany."
Lucky bitch.,she was lucky.
"Are you nuts? You have any idea, how many medals, this son of a bitch won?",do you have any idea how many medals this guy got?
Of course. Forward. Imbeciles.,"of course, forward!"
Give me that shit.,give me one.
There's nothing those bastards don't have.,there's nothing you can't do.
"Jesus, you believe this shit?","oh, my God. Do you believe that?"
All he did was steal my shit.,he's got my stuff.
I want 10 more minuteswith this piece of shit before his lawyer shows.,I want ten more minutes before his lawyer shows up.
"I can't wear these shoes to diner, idiot.",I can't go in these shoes.
"Old Man Howard lets a tree fall on his stupid sorry ass, and has to call for help.",a tree fell on old Howard and he had to call for help.
"Bo, damn it!","Bo, stop!"
Can you believe this shit?,can you believe it?
Does Brumby really enjoy that crap?,is Brumby really enjoying it?
I was just seeing how she was feeling. Bullshit.,I just went to see how she was doing.
Have a good shit?,did you have a good time?
And then we won the stupid regionalsand had to do this lousy-ass tournament!,then we would have won the country and had to play the tournament!
You don't want to do that shit.,she didn't want to do it.
"Reverend Oates, why are you with this scum?","Reverend Oates, what are you doing here?"
"We can talk to our planes, and those bastards who did this will never know!","and we can broadcast our planes, and the bad guys who did this will never know!"
"He won't be able to rest in peace, you idiot!",he won't be able to rest in peace.
"Just want to make sure it's not a stupid, impulsive decision.",I want to be sure it's not just an impulsive decision.
Bullshit. I know you better.,I know you didn't.
That shit's strong.,it's strong stuff.
"She takes the goddamn thing,gives you a quarter!",he'll take it and give you a quarter.
"Fuck you too, Grandma.","you too, Grandma."
"Come on, shake on that shit.","come on, let's shake hands."
Two million dollars for your ass.,two million dollars for you.
What the fuck Are you talking about?,what are you talking about?
"What, you don't think I can do this shit?",you don't think I can do that?
Just a stupid detail.,just a detail.
